app	score	tier	depth	backendTests	frontendTests	migrations	controllers	services	domain	integrationManifest	emits	consumes	unmatchedConsumes	incomingLinks	outgoingLinks	primaryRisks
agencyos	73	Beta	Medium	3	0	1	3	3	6	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
agentops	88	Production Candidate	Medium	2	1	1	3	4	5	yes	5	2	2	0	0	
analyticsbuilder	60	Beta	Shallow	1	0	1	1	1	5	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
apievolver	60	Beta	Shallow	1	0	1	1	3	3	yes	3	2	2	0	0	no-frontend-tests,no-backend-dockerfile
apigatekeeper	75	Beta	Deep	1	1	1	8	5	8	yes	0	0	0	0	0	no-backend-dockerfile,no-readme
apimanager	93	Production Candidate	Medium	3	2	1	8	8	5	yes	4	2	2	0	0	
auditready	45	Alpha	Shallow	1	0	1	1	3	4	yes	2	2	0	2	0	no-frontend,no-backend-dockerfile,no-readme
backupvault	78	Beta	Shallow	1	1	1	2	3	4	yes	6	0	0	0	0	
billingai	60	Beta	Shallow	1	0	1	2	2	4	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
billingsync	88	Production Candidate	Medium	3	2	1	4	6	8	yes	3	2	2	0	0	no-readme
brandvoice	65	Beta	Medium	0	0	2	6	5	4	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
budgetpilot	35	Incubating	Shallow	1	0	0	0	0	0	yes	0	0	0	0	0	no-db-migrations,no-frontend-tests,no-backend-dockerfile
callintelligence	86	Production Candidate	Medium	2	0	6	0	5	12	yes	2	1	0	0	0	no-frontend-tests
cashflowai	55	Alpha	Shallow	0	0	1	0	1	7	yes	1	1	1	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
cashflowanalyzer	50	Alpha	Shallow	0	0	5	0	0	0	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
churnpredictor	93	Production Candidate	Medium	3	3	1	3	5	5	yes	2	2	2	0	0	
compbenchmark	55	Alpha	Shallow	0	0	1	0	0	4	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
compensationos	100	Production Candidate	Medium	5	2	1	7	7	5	yes	2	3	3	0	0	
competitorradar	80	Production Candidate	Deep	1	0	6	5	7	12	yes	0	0	0	0	0	no-frontend-tests
complianceradar	50	Alpha	Medium	1	0	1	1	3	7	yes	2	1	1	0	1	no-frontend,no-backend-dockerfile,no-readme
constructioniq	45	Alpha	Shallow	0	0	1	0	0	0	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
contentos	45	Alpha	Shallow	0	0	1	0	0	0	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
contractportfolio	55	Alpha	Shallow	1	0	1	1	3	5	yes	2	1	0	1	0	no-frontend,no-backend-dockerfile,no-readme
contractsense	73	Beta	Shallow	2	0	6	1	3	5	yes	2	1	0	1	0	no-frontend-tests,no-backend-dockerfile,no-readme
copyoptimizer	50	Alpha	Shallow	0	0	1	0	0	4	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
creatoranalytics	60	Beta	Medium	0	0	1	1	2	8	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
customerdiscoveryai	86	Production Candidate	Shallow	2	2	1	3	2	4	yes	3	1	1	0	0	
datacatalogai	60	Beta	Deep	0	0	1	0	7	16	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
datagovernance	88	Production Candidate	Medium	2	1	1	2	2	6	yes	2	1	0	0	0	no-readme
datagovernanceos	63	Beta	Shallow	2	0	2	1	2	3	yes	3	1	1	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
datalineagetracker	88	Production Candidate	Medium	2	1	1	4	5	6	yes	3	2	0	0	0	
dataprivacyai	70	Beta	Medium	1	0	6	2	2	10	yes	2	1	1	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
dataqualityai	50	Alpha	Shallow	0	0	0	3	1	4	yes	4	3	3	0	0	no-db-migrations,no-backend-tests,no-frontend-tests
dataroomai	65	Beta	Medium	0	0	1	5	5	8	yes	2	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
datastoryteller	81	Production Candidate	Medium	2	0	1	0	4	14	yes	4	3	3	0	0	no-frontend-tests
debtnavigator	55	Alpha	Shallow	1	0	2	1	4	3	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
dependencyradar	45	Alpha	Shallow	0	0	0	2	3	3	yes	3	2	2	0	0	no-frontend,no-db-migrations,no-backend-tests
deploysignal	48	Alpha	Shallow	2	0	0	1	1	0	yes	0	0	0	0	0	no-db-migrations,no-frontend-tests,no-backend-dockerfile
documentintelligence	78	Beta	Shallow	2	1	1	1	4	4	yes	2	1	0	0	0	no-backend-dockerfile
documentvault	83	Production Candidate	Medium	2	1	1	5	8	5	yes	3	3	3	0	2	no-backend-dockerfile,no-readme
ecosystemmap	78	Beta	Shallow	3	3	1	1	3	4	yes	0	3	3	0	0	no-backend-dockerfile,no-readme
educationos	83	Production Candidate	Medium	3	0	1	3	3	12	yes	2	1	0	0	0	no-frontend-tests
engagementpulse	93	Production Candidate	Medium	3	1	1	4	5	6	yes	2	2	2	0	0	
equityintelligence	55	Alpha	Shallow	0	0	1	0	0	7	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
expenseintelligence	65	Beta	Medium	0	0	1	2	3	9	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
experimentengine	78	Beta	Medium	1	1	1	0	4	15	yes	5	2	2	0	0	
financenarrator	50	Alpha	Shallow	0	0	4	0	0	0	yes	1	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
ghostwriter	35	Incubating	Shallow	0	0	0	0	0	0	yes	0	0	0	0	0	no-db-migrations,no-backend-tests,no-frontend-tests
goaltracker	55	Alpha	Shallow	1	0	1	1	1	2	yes	6	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
healthcaredocai	78	Beta	Shallow	3	3	6	1	3	5	no	0	0	0	0	0	no-integration-manifest,no-backend-dockerfile,no-readme
hiresignal	60	Beta	Medium	1	0	1	3	3	4	yes	1	0	0	0	1	no-frontend-tests,no-backend-dockerfile,no-readme
incidentbrain	73	Beta	Shallow	2	0	1	0	3	3	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile
insightengine	86	Production Candidate	Medium	2	1	1	4	3	5	yes	1	1	0	0	0	
insuranceai	78	Beta	Shallow	3	2	1	3	4	2	yes	3	1	1	0	0	no-backend-dockerfile,no-readme
integrationbridge	90	Production Candidate	Medium	5	1	1	2	5	6	yes	1	1	1	0	0	no-backend-dockerfile,no-readme
interviewos	60	Beta	Shallow	1	0	1	1	3	4	yes	1	1	0	1	0	no-frontend-tests,no-backend-dockerfile,no-readme
investtracker	73	Beta	Medium	2	2	1	1	2	8	yes	0	0	0	0	0	no-backend-dockerfile,no-readme
invoiceprocessor	35	Incubating	Shallow	1	0	1	0	0	0	yes	5	0	0	0	0	no-frontend,no-backend-dockerfile,no-readme
jobcraftai	35	Incubating	Shallow	0	0	0	0	0	0	yes	0	0	0	0	0	no-db-migrations,no-backend-tests,no-frontend-tests
knowledgevault	65	Beta	Shallow	1	0	6	1	2	3	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
legalresearch	50	Alpha	Shallow	1	0	1	1	2	6	yes	1	0	0	0	0	no-frontend,no-backend-dockerfile,no-readme
licenseguard	45	Alpha	Shallow	1	0	1	1	2	4	yes	2	2	2	0	0	no-frontend,no-backend-dockerfile,no-readme
localizationos	55	Alpha	Shallow	0	0	1	0	1	8	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
marketplacehub	88	Production Candidate	Medium	3	1	1	2	2	6	yes	3	2	2	0	0	no-backend-dockerfile
marketsignal	70	Beta	Medium	1	0	5	1	4	7	yes	2	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
meetingbrain	73	Beta	Medium	2	0	1	1	2	7	yes	2	1	1	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
ndaflow	70	Beta	Shallow	1	0	6	0	2	7	yes	2	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
nexus-hub	45	Alpha	Shallow	0	0	5	0	0	0	no	0	0	0	0	0	no-integration-manifest,no-backend-tests,no-frontend-tests
nonprofitos	81	Production Candidate	Shallow	3	1	1	3	3	3	yes	3	2	2	0	0	
notificationhub	96	Production Candidate	Deep	2	3	1	5	7	8	yes	2	1	1	0	0	
observabilitystack	75	Beta	Medium	1	0	1	7	0	12	yes	5	2	2	0	0	no-frontend-tests
onboardflow	60	Beta	Shallow	1	0	1	2	2	4	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
peopleanalytics	60	Beta	Shallow	1	0	1	1	1	5	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
performancenarrative	50	Alpha	Shallow	1	0	1	1	2	4	yes	0	0	0	0	0	no-frontend,no-backend-dockerfile,no-readme
policyforge	45	Alpha	Shallow	1	0	1	1	2	4	yes	2	1	1	0	1	no-frontend,no-backend-dockerfile,no-readme
pricingintelligence	68	Beta	Shallow	3	0	1	0	1	4	yes	1	1	1	0	0	no-frontend-tests
processminer	93	Production Candidate	Medium	2	1	1	4	4	5	yes	1	1	1	0	0	
procurebot	55	Alpha	Shallow	0	0	1	0	0	7	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
prospectiq	78	Beta	Medium	3	1	1	4	4	4	yes	2	1	0	0	0	no-backend-dockerfile
queryoptimizer	78	Beta	Medium	2	2	1	2	5	4	yes	0	0	0	0	0	no-backend-dockerfile,no-readme
regulatoryfiling	50	Alpha	Medium	1	0	1	1	3	6	yes	2	1	1	0	0	no-frontend,no-backend-dockerfile,no-readme
restaurantintel	91	Production Candidate	Medium	4	2	1	4	5	5	yes	3	2	2	0	0	
retailintelligence	83	Production Candidate	Shallow	2	2	1	1	2	3	yes	3	1	1	0	0	
retentionsignal	60	Beta	Shallow	1	0	1	0	1	8	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
retirementplus	98	Production Candidate	Shallow	4	3	3	2	2	3	yes	2	0	0	0	0	
runwaymodeler	58	Alpha	Shallow	2	0	1	1	3	4	yes	0	0	0	0	0	no-frontend,no-backend-dockerfile,no-readme
securitypulse	40	Alpha	Shallow	1	0	1	0	0	0	yes	3	2	2	0	0	no-frontend,no-backend-dockerfile
seointelligence	35	Incubating	Shallow	0	0	0	0	0	0	yes	0	0	0	0	0	no-db-migrations,no-backend-tests,no-frontend-tests
socialintelligence	83	Production Candidate	Medium	0	1	2	5	4	5	yes	2	1	1	0	0	no-backend-tests
supportintelligence	40	Alpha	Shallow	0	0	1	1	1	2	yes	3	2	2	0	0	no-frontend,no-backend-tests,no-backend-dockerfile
taskqueue	88	Production Candidate	Medium	2	1	1	3	6	5	yes	2	1	0	0	0	no-readme
taxdataorganizer	70	Beta	Medium	1	0	1	3	3	8	yes	0	0	0	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
taxoptimizer	70	Beta	Medium	1	0	1	4	6	16	yes	2	1	1	0	0	no-frontend-tests,no-backend-dockerfile,no-readme
usageintelligence	83	Production Candidate	Shallow	3	1	1	1	3	4	yes	2	2	2	0	0	
vendoriq	55	Alpha	Shallow	0	0	1	0	0	7	yes	0	0	0	0	0	no-backend-tests,no-frontend-tests,no-backend-dockerfile
videonarrator	35	Incubating	Shallow	0	0	0	1	1	1	yes	0	0	0	0	0	no-db-migrations,no-backend-tests,no-frontend-tests
voiceagentbuilder	80	Production Candidate	Medium	1	2	1	5	5	4	yes	2	0	0	0	0	
wealthedge	81	Production Candidate	Shallow	4	0	1	2	3	3	yes	0	0	0	0	0	no-frontend-tests
wealthplan	91	Production Candidate	Medium	2	1	1	4	7	8	yes	2	1	0	0	0	